id.tender;id.lot;date;id.procurer;id.bidder;cpv;good;procedure;threshold;count;expected.value;round.0;round.3;quantity;measurement
UA-2016-08-03-000157-b;UA-2016-08-03-000157-b-L1;03.08.2016;14321386;25394112;30197630-1 Папір для друку;Папір і картон (папір офісний формату А4. клас В);Допорогова закупівля;Допороги;2;4800;3822;3726;60;пачка
UA-2016-08-04-000136-b;UA-2016-08-04-000136-b-L1;04.08.2016;38244708;25394112;30197630-1 Папір для друку;Папір офісний А-4 (copy paper Everyday seven plus 500 sheets 210 mm 297 mm);Допорогова закупівля;Допороги;3;7000;6409;6299;100;пачок
UA-2016-08-04-000249-b;UA-2016-08-04-000249-b-L1;04.08.2016;33244415;32011280;30197630-1 Папір для друку;папір офісний, призначений для друку, формат А-4, 500аркушів,;Допорогова закупівля;Допороги;2;4000;3452;3074;47;пачок
UA-2016-08-04-000659-b;UA-2016-08-04-000659-b-L1;04.08.2016;1281082;23863399;30197630-1 Папір для друку;Папір А-4 для друку. Товщина 80гр/кв.м. Розмір 210*297 мм. Колір білий. Кількість аркушів в пачці – 500 арк. Білий офісний папір застосовується в чорно-білих копірах, лазерних принтерах при будь-яких швидкостях  друку.  -  63 пачки.;Допорогова закупівля;Допороги;6;5670;4188;3803;63;пачка
UA-2016-08-05-000279-b;UA-2016-08-05-000279-b-L1;05.08.2016;3190840;2901023766;30197000-6 Дрібне канцелярське приладдя;Папір офісний для друку та копіювання А4 ДК 016:2010 17.12.7  Папір і картон оброблені (30197000-6 Дрібне канцелярське приладдя (папір для друку А-4)).;Допорогова закупівля;Допороги;3;3300;3098;3017;50;пачок
UA-2016-08-05-000180-b;UA-2016-08-05-000180-b-L1;05.08.2016;37472062;25394112;30197630-1 Папір для друку;Папір офісний, формат А4, 80 г/м, 500 арк., папір офісний, формат А4, 120 г/м, 500 арк.;Допорогова закупівля;Допороги;2;80000;70098;68498;1105;пачок
UA-2016-08-08-000113-a;UA-2016-08-08-000113-a-L1;08.08.2016;37454258;39417349;30197630-1 Папір для друку;Папір А4 500 аркушів  80 г/м;Допорогова закупівля;Допороги;2;52819;50753;50471;840;пачка
UA-2016-08-08-000322-a;UA-2016-08-08-000322-a-L1;08.08.2016;33201806;23863399;30197630-1 Папір для друку;Папір багатофункціональний білий офісний для різноманітних видів офісної техніки , 500 аркушів у пачці, формат А-4 210*297 mm , щільність 80г/м.кв. Для двостороннього друку.;Допорогова закупівля;Допороги;2;18000;17647;17459;285;пачок
UA-2016-08-08-000078-c;UA-2016-08-08-000078-c-L1;08.08.2016;25623535;2901023766;30197630-1 Папір для друку;Папір друкарський формату А-4;Допорогова закупівля;Допороги;2;3250;3098;2999;50;пачок
UA-2016-08-08-000155-c;UA-2016-08-08-000155-c-L1;08.08.2016;39369133;25394112;30197000-6 Дрібне канцелярське приладдя;папір А4;Допорогова закупівля;Допороги;3;12323;11167;11167;180;штуки
UA-2016-08-08-000103-b;UA-2016-08-08-000103-b-L1;08.08.2016;39420037;25394112;30197630-1 Папір для друку;Папір для друку (офісний) формату А4 (210мм х 297мм), 500 аркушів, 80 г/м2, клас С.;Допорогова закупівля;Допороги;2;111000;100488;98782;1580;пачок
UA-2016-08-08-000424-b;UA-2016-08-08-000424-b-L1;08.08.2016;2141443;22360472;30197630-1 Папір для друку;Папір офісний, формат А4;Допорогова закупівля;Допороги;2;4000;3245;3061;50;пачок
UA-2016-08-09-000436-a;UA-2016-08-09-000436-a-L1;09.08.2016;37485422;23863399;30197630-1 Папір для друку;Папір офісний А4;Допорогова закупівля;Допороги;3;3224;3147;3097;50;пачка
UA-2016-08-09-000394-b;UA-2016-08-09-000394-b-L1;09.08.2016;39748330;2662000111;30197630-1 Папір для друку;папір офісний  А4 (щільність 80г/м2);Допорогова закупівля;Допороги;4;3648;3620;3248;56;пачок
UA-2016-08-09-000274-c;UA-2016-08-09-000274-c-L1;09.08.2016;992208;23863399;30197630-1 Папір для друку;ПАПІР ОФІСНИЙ форма А4, клас паперу С+, щільність не менше 80 г/м2;Допорогова закупівля;Допороги;4;4355;4146;4011;65;штуки
UA-2016-08-09-000208-c;UA-2016-08-09-000208-c-L1;09.08.2016;4358000;23863399;30197630-1 Папір для друку;Папір листовий для офісної техніки, формат А4;Допорогова закупівля;Допороги;2;3500;3240;3240;50;пачок
UA-2016-08-09-000002-b;UA-2016-08-09-000002-b-L1;09.08.2016;2070812;32011280;30197630-1 Папір для друку;Папір формату А4 500 аркушів  80 г/м;Допорогова закупівля;Допороги;2;8000;6936;6776;100;пачка
UA-2016-08-10-000596-b;UA-2016-08-10-000596-b-L1;10.08.2016;40382587;3307207495;30199000-0 Паперове канцелярське приладдя та інші паперові вироби;Папір офісний для друку та копіювання на лазерній, струменевій техніці Формат А4 Щільність - 80г/м2 К-сть аркушів у пачці - 500;Допорогова закупівля;Допороги;2;3300;3245;3113;50;штуки
UA-2016-08-10-000282-b;UA-2016-08-10-000282-b-L1;10.08.2016;38231552;25394112;30197630-1 Папір для друку;Папір А-4 для друку .Товщина 80г/м2 Розмір 210 х 297мм,Колір білий,кількість аркушів в пачці 500аркушів;Допорогова закупівля;Допороги;2;3750;3233;3117;50;пачок
UA-2016-08-10-000187-b;UA-2016-08-10-000187-b-L1;10.08.2016;1987445;25394112;30192700-8 Канцелярські товари;Папір білий, А4;Допорогова закупівля;Допороги;2;3750;3300;3186;50;пачок
UA-2016-08-11-000279-b;UA-2016-08-11-000279-b-L1;11.08.2016;40378209;2901023766;30197000-6 Дрібне канцелярське приладдя;Папір для друку А4 80г/м (Клас С);Допорогова закупівля;Допороги;3;13000;12390;12195;200;пачок
